0	1	2	3	4	5	6	7	8	9	word
-1.2441363	-0.37344903	-0.17049848	1.2223711	0.6094367	-1.665106	0.010213176	0.48498186	-0.5243238	-0.22284794	случай
0.5579927	1.6372457	0.7957278	0.034185212	2.1212347	-0.2564213	0.10544382	0.85036653	-0.12214409	0.15570909	установить
-0.06621941	-0.2796174	0.39489573	0.38485077	-0.26169485	2.0840914	1.3205017	0.91049975	0.1513191	-1.0959134	незаконно
-0.14547592	-0.8103468	-0.6805235	-1.159371	1.2098852	1.3855966	0.38903236	1.30001	-0.98799276	-0.04092469	её
0.25228125	-0.84032184	0.21989788	-1.1843148	1.1617218	-2.0128145	1.0963807	-0.694818	-0.44435802	2.4029613	демонтировать
-0.49387592	1.1470413	0.5469841	0.35646847	0.971964	0.23344022	-0.29453248	-1.0257531	0.14514372	0.0049463846	уборка
-0.48909247	-1.3165045	-2.5108814	-1.1958165	0.8662391	-0.74446315	-0.23187336	-0.99856246	2.3111565	-2.0828083	производиться
0.2717273	1.7323842	0.3671954	0.58930075	-1.0507808	-0.70425206	-0.07564516	-0.022942953	0.63884735	-1.8503041	лестница
0.43262905	-0.012384552	-0.98521376	0.3089471	0.24652602	-0.9357032	-0.06964215	-1.0234983	0.44658116	0.39841893	очень
0.95513314	-1.2341679	-0.3327552	0.49346015	-0.21611713	0.81945515	-0.45672983	-1.6835588	-0.7470586	2.0799274	грязно
-0.3389263	-0.16254455	0.09297922	0.34189668	0.5915982	0.108891934	0.25803727	0.27335012	0.936887	-0.116966344	весь
0.47270486	-0.6041112	0.44351947	0.2673443	0.5839727	0.75014204	-0.8611061	-2.289733	0.38490462	0.6968314	вплоть
-2.7395875	-2.2502885	-1.4889954	-0.319243	-2.18337	1.9483714	0.99801755	-0.48551974	0.44982654	-1.35926	го
0.88974357	-0.62443894	-0.76974934	-0.54079294	-0.66286546	-1.709402	0.04082599	1.1784992	-1.7586519	-1.0606055	звонок
1.1935602	0.107287236	0.6097067	0.7034811	-0.13570078	0.4080097	-1.3374814	-0.7814011	-2.3453586	-0.19499275	жкс
1.2859756	1.5570858	-1.2973866	2.7614584	0.63034606	2.2387216	0.012045737	-0.66510034	0.12521325	-1.401111	дать
0.23295544	0.5163214	-1.4811349	-1.1927055	0.23640995	-1.5085534	-0.7632679	-0.5983811	-0.34847417	2.4270632	результат
1.3658178	1.0572966	-0.17899981	0.040359747	1.2139112	1.0006542	0.7257663	0.033758704	1.6080557	-0.8627406	мусор
-0.23725395	0.36486164	-1.2923268	0.03532085	-1.2336444	1.8105102	-0.35373098	-0.05622712	-0.6509647	-0.85027313	отсутствовать
-1.0808744	0.32320896	-0.14839418	1.0513946	0.42545792	-0.4245353	1.4324225	-0.6281857	1.088723	-1.5609982	освещение
-0.15247644	-1.0752163	-0.6466375	0.45312577	0.6270556	0.26059863	-0.10248643	1.275795	0.43384737	0.7928753	лестничный
1.2703953	-0.35164186	-1.1490873	-1.3318433	-0.66786563	0.8321691	-0.678881	-1.0743347	1.3791136	1.0725068	площадка
-0.67849416	1.9139072	-0.07339508	0.956387	0.59093404	1.6480495	-0.47609705	-1.9047488	1.8969401	0.93488455	делать
-0.08769221	-0.21214655	0.32503074	0.2711755	-1.1838455	-0.10939992	-0.76577723	0.55121964	-1.5852824	0.44504306	благоустройство
0.8356985	0.49170896	-1.199498	1.9120349	-0.6462722	2.1504135	-0.24400558	-1.1891903	-0.7950214	0.48324013	никто
